n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,8.677351194252836e-07,(568/911),1,80,17.866
7,1,3.863209052656913e-08,(((-10/21) * sqrt(3)) + (42/29)),6,80,17.866
7,2,1.2507234470326978e-08,(((3/4) * sqrt((((-2/17) * sqrt(19)) + (25/22)))) + (1/32)),11,80,17.866
7,3,2.5087520949540476e-10,(((-5/7) * sqrt((((-11/13) * sqrt((((19/30) * sqrt(23)) + (-70/29)))) + (31/24)))) + (19/16)),16,80,17.866
7,4,2.5087520949540476e-10,(((-5/7) * sqrt((((-11/13) * sqrt((((19/30) * sqrt(23)) + (-70/29)))) + (31/24)))) + (19/16)),16,80,17.866
11,0,2.588776155665329e-07,(832/989),1,80,17.644
11,1,1.0216210433178219e-08,(((-2/11) * sqrt(17)) + (35/22)),6,80,17.644
11,2,1.0216210433178219e-08,(((-2/11) * sqrt(17)) + (35/22)),6,80,17.644
11,3,5.101743472124554e-10,(((5/6) * sqrt((((-3/8) * sqrt((((7/11) * sqrt(17)) + (-41/23)))) + (32/27)))) + (1/13)),16,80,17.644
11,4,5.101743472124554e-10,(((5/6) * sqrt((((-3/8) * sqrt((((7/11) * sqrt(17)) + (-41/23)))) + (32/27)))) + (1/13)),16,80,17.644
13,0,8.598036755902427e-07,(688/777),1,80,15.186
13,1,5.1090311758983376e-08,(((51/32) * sqrt(3)) + (-15/8)),6,80,15.186
13,2,1.701097829265308e-08,(((27/13) * sqrt((((5/8) * sqrt(10)) + (-12/11)))) + (-31/29)),11,80,15.186
13,3,5.643315148518013e-09,((-31/16) + (3 * sqrt((((-9/7) * sqrt((((12/25) * sqrt(19)) + (-35/29)))) + (44/21))))),16,80,15.186
13,4,5.643315148518013e-09,((-31/16) + (3 * sqrt((((-9/7) * sqrt((((12/25) * sqrt(19)) + (-35/29)))) + (44/21))))),16,80,15.186
