n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,1.3102717255630836e-07,(929/1490),1,80,13.373
7,1,3.863209052656913e-08,(((-10/21) * sqrt(3)) + (42/29)),6,80,13.373
7,2,1.5154499877212402e-10,(((29/13) * sqrt((((62/45) * sqrt(2)) + (-53/40)))) + (-33/29)),11,80,13.373
11,0,2.588776155665329e-07,(832/989),1,80,13.495
11,1,1.0216210433178219e-08,(((-2/11) * sqrt(17)) + (35/22)),6,80,13.495
11,2,7.030349080672238e-09,(((18/7) * sqrt((((30/41) * sqrt(2)) + (-6/31)))) + (-44/29)),11,80,13.495
13,0,1.1005411415521138e-07,(1175/1327),1,80,13.029
13,1,1.1672821820241097e-08,(((14/37) * sqrt(29)) + (-53/46)),6,80,13.029
13,2,1.1672821820241097e-08,(((14/37) * sqrt(29)) + (-53/46)),6,80,13.029
