n,depth,best_error,expr,nodes,dps,runtime_seconds
13,0,3.935898654328085e-05,(85/96),1,80,45.461
13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,45.461
13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,45.461
13,3,2.3389246095462113e-10,(sqrt((sqrt((sqrt((130/147)) * sqrt((180/203)))) * sqrt((sqrt((23/26)) * sqrt((288/325)))))) * sqrt((sqrt((sqrt((217/243)) * sqrt((36/41)))) * sqrt((sqrt((336/377)) * sqrt((95/108))))))),29,80,45.461
13,4,2.3389246095462113e-10,(sqrt((sqrt((sqrt((130/147)) * sqrt((180/203)))) * sqrt((sqrt((23/26)) * sqrt((288/325)))))) * sqrt((sqrt((sqrt((217/243)) * sqrt((36/41)))) * sqrt((sqrt((336/377)) * sqrt((95/108))))))),29,80,45.461
