n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,0.0005389821866023103,(38/61),1,80,0.866
7,1,3.95829773002232e-05,(((2/7) * sqrt(26)) + (-5/6)),6,80,0.866
7,2,1.142244696605843e-06,(((3/5) * sqrt((((-3/7) * sqrt(5)) + (8/5)))) + (1/7)),11,80,0.866
11,0,1.6308438660073143e-05,(53/63),1,80,0.962
11,1,1.208051186607495e-05,(((5/6) * sqrt(6)) + (-6/5)),6,80,0.962
11,2,5.734573268467713e-07,(((-9/5) * sqrt((((-1/8) * sqrt(15)) + (4/3)))) + (5/2)),11,80,0.962
13,0,0.0002101240138656646,(54/61),1,80,0.922
13,1,2.1878912414230456e-05,(((2/7) * sqrt(26)) + (-4/7)),6,80,0.922
13,2,1.0270436223702717e-07,(((24/7) * sqrt((((4/5) * sqrt(2)) + (-1/4)))) + (-7/3)),11,80,0.922
