n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,1.8983452587661986e-09,(3148/5049),1,80,145.061
7,1,8.138395513057617e-10,(((68/69) * sqrt(10)) + (-177/71)),6,80,145.061
7,2,1.8924195543945643e-10,(((-5/7) * sqrt((((-14/25) * sqrt(10)) + (170/71)))) + (19/16)),11,80,145.061
7,3,1.8924195543945643e-10,(((-5/7) * sqrt((((-14/25) * sqrt(10)) + (170/71)))) + (19/16)),11,80,145.061
7,4,1.8924195543945643e-10,(((-5/7) * sqrt((((-14/25) * sqrt(10)) + (170/71)))) + (19/16)),11,80,145.061
11,0,8.507033966154154e-10,(3275/3893),1,80,144.569
11,1,6.973048805036797e-10,(((1/65) * sqrt(19)) + (24/31)),6,80,144.569
11,2,6.973048805036797e-10,(((1/65) * sqrt(19)) + (24/31)),6,80,144.569
11,3,4.864831870676767e-10,(((41/14) * sqrt((((41/14) * sqrt((((52/83) * sqrt(7)) + (-40/49)))) + (-107/58)))) + (-107/58)),16,80,144.569
11,4,4.864831870676767e-10,(((41/14) * sqrt((((41/14) * sqrt((((52/83) * sqrt(7)) + (-40/49)))) + (-107/58)))) + (-107/58)),16,80,144.569
13,0,8.383916894061372e-09,(6563/7412),1,80,141.13
13,1,1.8145517310941273e-09,(((-36/91) * sqrt(13)) + (215/93)),6,80,141.13
13,2,3.3324343284846236e-10,(((25/9) * sqrt((((-13/88) * sqrt(6)) + (116/93)))) + (-140/81)),11,80,141.13
13,3,3.3324343284846236e-10,(((25/9) * sqrt((((-13/88) * sqrt(6)) + (116/93)))) + (-140/81)),11,80,141.13
13,4,3.046923824356895e-10,(((25/9) * sqrt((((27/11) * sqrt(((-31/16) + (3 * sqrt((((19/23) * sqrt(14)) + (-161/73))))))) + (-47/33)))) + (-140/81)),21,80,141.13
