n,depth,best_error,expr,nodes,dps,runtime_seconds
13,0,1.405981687552238e-05,(518/585),1,80,233.261
13,1,1.848563370154821e-07,(sqrt((111/125)) * sqrt((3024/3425))),5,80,233.261
13,2,3.5483960214577337e-10,(sqrt((sqrt((1085/1224)) * sqrt((360/407)))) * sqrt((sqrt((245/276)) * sqrt((310/351))))),13,80,233.261
13,3,3.5483960214577337e-10,(sqrt((sqrt((1085/1224)) * sqrt((360/407)))) * sqrt((sqrt((245/276)) * sqrt((310/351))))),13,80,233.261
