n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,8.02048221526519e-06,(154/247),1,80,2.004
7,1,2.2128763005335728e-06,(((5/9) * sqrt(10)) + (-17/15)),6,80,2.004
7,2,9.75333857011762e-08,(((-11/6) * sqrt((((5/16) * sqrt(2)) + (2/11)))) + (29/14)),11,80,2.004
11,0,1.6308438660073143e-05,(53/63),1,80,1.98
11,1,4.777079919415783e-06,(((10/11) * sqrt(3)) + (-11/15)),6,80,1.98
11,2,1.2811927740941087e-08,(((43/12) * sqrt((((5/6) * sqrt(11)) + (-25/13)))) + (-22/9)),11,80,1.98
13,0,6.529412869382689e-06,(201/227),1,80,2.086
13,1,2.760103652299506e-07,(((-11/12) * sqrt(2)) + (24/11)),6,80,2.086
13,2,9.414427259990532e-08,(((22/7) * sqrt((((9/16) * sqrt(23)) + (-29/16)))) + (-29/14)),11,80,2.086
