n,depth,best_error,expr,nodes,dps,runtime_seconds
13,0,1.405981687552238e-05,(518/585),1,80,216.781
13,1,1.848563370154821e-07,(sqrt((111/125)) * sqrt((3024/3425))),5,80,216.781
13,2,3.5483960214577337e-10,(sqrt((sqrt((1085/1224)) * sqrt((360/407)))) * sqrt((sqrt((245/276)) * sqrt((310/351))))),13,80,216.781
13,3,1.992850329202156e-12,(sqrt((sqrt((sqrt((121/137)) * sqrt((688/775)))) * sqrt((sqrt((1280/1443)) * sqrt((175/198)))))) * sqrt((sqrt((sqrt((1280/1443)) * sqrt((1591/1800)))) * sqrt((sqrt((173/195)) * sqrt((38/43))))))),29,80,216.781
