run_name,n,depth,best_error,expr,nodes,dps,runtime_seconds
beam_sweep_n13_d4_nodes30_beam20000,13,1,1.8441262283896975e-06,(sqrt((156/121)) - (1/4)),4,80,219.308
beam_sweep_n13_d4_nodes30_beam20000,13,2,6.728832013802588e-08,(sqrt((sqrt((215/243)) * sqrt((319/360)))) * sqrt((sqrt((310/351)) * sqrt((87/98))))),13,80,219.308
beam_sweep_n13_d4_nodes30_beam20000,13,3,2.1025168717159204e-08,(sqrt((sqrt((sqrt((215/243)) * sqrt((319/360)))) * sqrt((sqrt((310/351)) * sqrt((87/98)))))) * sqrt((sqrt((sqrt((310/351)) * sqrt((87/98)))) * sqrt((sqrt((360/407)) * sqrt((39/44))))))),29,80,219.308
beam_sweep_n13_d4_nodes30_beam20000,13,4,2.1025168717159204e-08,(sqrt((sqrt((sqrt((215/243)) * sqrt((319/360)))) * sqrt((sqrt((310/351)) * sqrt((87/98)))))) * sqrt((sqrt((sqrt((310/351)) * sqrt((87/98)))) * sqrt((sqrt((360/407)) * sqrt((39/44))))))),29,80,219.308
beam_sweep_n13_d4_nodes30_beam5000,13,0,3.935898654328085e-05,(85/96),1,80,72.801
beam_sweep_n13_d4_nodes30_beam5000,13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,72.801
beam_sweep_n13_d4_nodes30_beam5000,13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,72.801
beam_sweep_n13_d4_nodes30_beam5000,13,3,2.3389246095462113e-10,(sqrt((sqrt((sqrt((130/147)) * sqrt((180/203)))) * sqrt((sqrt((23/26)) * sqrt((288/325)))))) * sqrt((sqrt((sqrt((217/243)) * sqrt((36/41)))) * sqrt((sqrt((336/377)) * sqrt((95/108))))))),29,80,72.801
beam_sweep_n13_d4_nodes30_beam5000,13,4,2.3389246095462113e-10,(sqrt((sqrt((sqrt((130/147)) * sqrt((180/203)))) * sqrt((sqrt((23/26)) * sqrt((288/325)))))) * sqrt((sqrt((sqrt((217/243)) * sqrt((36/41)))) * sqrt((sqrt((336/377)) * sqrt((95/108))))))),29,80,72.801
depth_sweep_d2_nodes25_beam5000,7,0,0.00011317848211012116,(48/77),1,80,44.541
