n,depth,best_error,expr,nodes,dps,runtime_seconds
13,0,3.935898654328085e-05,(85/96),1,80,219.308
13,1,1.8441262283896975e-06,(sqrt((156/121)) - (1/4)),4,80,219.308
13,2,6.728832013802588e-08,(sqrt((sqrt((215/243)) * sqrt((319/360)))) * sqrt((sqrt((310/351)) * sqrt((87/98))))),13,80,219.308
13,3,2.1025168717159204e-08,(sqrt((sqrt((sqrt((215/243)) * sqrt((319/360)))) * sqrt((sqrt((310/351)) * sqrt((87/98)))))) * sqrt((sqrt((sqrt((310/351)) * sqrt((87/98)))) * sqrt((sqrt((360/407)) * sqrt((39/44))))))),29,80,219.308
13,4,2.1025168717159204e-08,(sqrt((sqrt((sqrt((215/243)) * sqrt((319/360)))) * sqrt((sqrt((310/351)) * sqrt((87/98)))))) * sqrt((sqrt((sqrt((310/351)) * sqrt((87/98)))) * sqrt((sqrt((360/407)) * sqrt((39/44))))))),29,80,219.308
