n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,0.00011317848211012116,(48/77),1,80,63.491
7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,63.491
7,2,9.465655481655233e-09,(sqrt((sqrt((121/189)) * sqrt((88/145)))) * sqrt((sqrt((25/39)) * sqrt((54/89))))),13,80,63.491
7,3,9.465655481655233e-09,(sqrt((sqrt((121/189)) * sqrt((88/145)))) * sqrt((sqrt((25/39)) * sqrt((54/89))))),13,80,63.491
11,0,1.6308438660073143e-05,(53/63),1,80,64.524
11,1,3.013774559801341e-06,(sqrt((180/217)) * sqrt((215/252))),5,80,64.524
11,2,1.0345535539357797e-08,(sqrt((sqrt((481/576)) * sqrt((61/72)))) * sqrt((sqrt((539/640)) * sqrt((58/69))))),13,80,64.524
11,3,1.0345535539357797e-08,(sqrt((sqrt((481/576)) * sqrt((61/72)))) * sqrt((sqrt((539/640)) * sqrt((58/69))))),13,80,64.524
13,0,3.935898654328085e-05,(85/96),1,80,69.055
13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,69.055
13,2,5.0052814115630895e-09,(sqrt((sqrt((15/17)) * sqrt((231/260)))) * sqrt((sqrt((198/221)) * sqrt((512/585))))),13,80,69.055
13,3,5.0052814115630895e-09,(sqrt((sqrt((15/17)) * sqrt((231/260)))) * sqrt((sqrt((198/221)) * sqrt((512/585))))),13,80,69.055
