n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,3.9609905972404214e-05,(53/85),1,80,1.296
7,1,4.7793785249439225e-06,(((-2/5) * sqrt(17)) + (25/11)),6,80,1.296
7,2,4.921278129454976e-08,(((9/5) * sqrt((((-10/11) * sqrt(3)) + (11/5)))) + (-4/5)),11,80,1.296
11,0,1.6308438660073143e-05,(53/63),1,80,1.348
11,1,1.208051186607495e-05,(((5/6) * sqrt(6)) + (-6/5)),6,80,1.348
11,2,5.45511974481272e-08,(((36/11) * sqrt((((6/11) * sqrt(30)) + (-15/7)))) + (-13/6)),11,80,1.348
13,0,3.935898654328085e-05,(85/96),1,80,1.4
13,1,2.760103652299506e-07,(((-11/12) * sqrt(2)) + (24/11)),6,80,1.4
13,2,1.0270436223702717e-07,(((24/7) * sqrt((((4/5) * sqrt(2)) + (-1/4)))) + (-7/3)),11,80,1.4
