n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,4.174044880955741e-06,(207/332),1,80,3.856
7,1,4.671820211799016e-07,(((5/19) * sqrt(17)) + (-6/13)),6,80,3.856
7,2,3.966389228171607e-08,(((17/13) * sqrt((((-5/16) * sqrt(21)) + (37/18)))) + (-9/22)),11,80,3.856
11,0,1.2656918772391279e-05,(461/548),1,80,3.767
11,1,1.0216210433178219e-08,(((-2/11) * sqrt(17)) + (35/22)),6,80,3.767
11,2,8.880231328056709e-09,(((9/11) * sqrt((((39/20) * sqrt(2)) + (-23/12)))) + (1/11)),11,80,3.767
13,0,1.480198664416399e-06,(487/550),1,80,3.64
13,1,1.5145998488730328e-07,(((11/21) * sqrt(22)) + (-11/7)),6,80,3.64
13,2,7.857666406430042e-09,(((43/13) * sqrt((((-2/5) * sqrt(15)) + (56/23)))) + (-49/22)),11,80,3.64
