n,depth,best_error
7,0,8.677351194252836e-07
7,1,3.8632090526569136e-08
7,2,1.2507234470326978e-08
7,3,2.508752094954048e-10
7,4,2.508752094954048e-10
11,0,2.588776155665329e-07
11,1,1.021621043317822e-08
11,2,1.021621043317822e-08
11,3,5.101743472124554e-10
11,4,5.101743472124554e-10
13,0,8.598036755902427e-07
13,1,5.1090311758983376e-08
13,2,1.7010978292653082e-08
13,3,5.643315148518013e-09
13,4,5.643315148518013e-09
